word,bonares_voc,lemma
sierra currant/ribes nevadense,sierra currant/ribes nevadense,sierra currant / ribe nevadense
wild gooseberry/ribes hirtellum,wild gooseberry/ribes hirtellum,wild gooseberry / ribe hirtellum
ribes divaricatum,ribes divaricatum,ribe divaricatum
Ribes divaricatum,ribes divaricatum,ribe divaricatum
canadian gooseberry/ribes oxyacanthoides,canadian gooseberry/ribes oxyacanthoides,canadian gooseberry / ribe oxyacanthoide
gummy gooseberry/ribes lobbii,gummy gooseberry/ribes lobbii,gummy gooseberry / ribe lobbii
black swamp gooseberry/ribes lacustre,black swamp gooseberry/ribes lacustre,black swamp gooseberry / ribe lacustre
european gooseberry/ribes uva-crispa,european gooseberry/ribes uva-crispa,european gooseberry / ribe uva - crispa
fuchsia-flowered gooseberry/ribes speciosum,fuchsia-flowered gooseberry/ribes speciosum,fuchsia - flower gooseberry / ribe speciosum
whitestem gooseberry/ribes inerme,whitestem gooseberry/ribes inerme,whitestem gooseberry / ribe inerme
common guava/psidium guajava,common guava/psidium guajava,common guava / psidium guajava
pineapple guava/acca sellowiana,pineapple guava/acca sellowiana,pineapple guava / acca sellowiana
cattley guava/psidium cattleyanum,cattley guava/psidium cattleyanum,cattley guava / psidium cattleyanum
costa rican guava/psidium friedrichsthalianum,costa rican guava/psidium friedrichsthalianum,costa rican guava / psidium friedrichsthalianum
brazilian guava/psidium guineense,brazilian guava/psidium guineense,brazilian guava / psidium guineense
purple guava/psidium rufum,purple guava/psidium rufum,purple guava / psidium rufum
chilean guava/ugni molinae,chilean guava/ugni molinae,chilean guava / ugni molinae
white jute/corchorus capsularis,white jute/corchorus capsularis,white jute / corchorus capsularis
tossa jute/corchorus olitorius,tossa jute/corchorus olitorius,tossa jute / corchorus olitorius
adzuki bean/vigna angularis,adzuki bean/vigna angularis,adzuki bean / vigna angularis
alfalfa/lucerne/medicago sativa,alfalfa/lucerne/medicago sativa,alfalfa / lucerne / medicago sativa
bambara bean/vigna subterranea,bambara bean/vigna subterranea,bambara bean / vigna subterranea
broad bean/faba bean/vicia faba var. major,broad bean/faba bean/vicia faba var. major,broad bean / faba bean / vicia faba var . major
carob/ceratonia siliqua,carob/ceratonia siliqua,carob / ceratonia siliqua
chickpea/cicer arietinum,chickpea/cicer arietinum,chickpea / cicer arietinum
clover/trifolium sp.,clover/trifolium sp.,clover / trifolium sp .
common bean/phaseolus vulgaris,common bean/phaseolus vulgaris,common bean / phaseolus vulgaris
cowpea/vigna unguiculata,cowpea/vigna unguiculata,cowpea / vigna unguiculata
field bean/vicia faba var. minor,field bean/vicia faba var. minor,field bean / vicia faba var . minor
groundnut/peanut/arachis hypogaea,groundnut/peanut/arachis hypogaea,groundnut / peanut / arachis hypogaea
guar bean/cyamopsis tetragonoloba,guar bean/cyamopsis tetragonoloba,guar bean / cyamopsis tetragonoloba
horse bean/vicia faba var. equina,horse bean/vicia faba var. equina,horse bean / vicia faba var . equina
hyacinth bean/lablab purpureus,hyacinth bean/lablab purpureus,hyacinth bean / lablab purpureus
indian pea/lathyrus sativus,indian pea/lathyrus sativus,indian pea / lathyrus sativus
jack bean/canavalia ensiformis,jack bean/canavalia ensiformis,jack bean / canavalia ensiformis
lentil/lens culinaris,lentil/lens culinaris,lentil / lens culinaris
lima bean/phaseolus lunatus,lima bean/phaseolus lunatus,lima bean / phaseolus lunatus
lupin/lupinus sp.,lupin/lupinus sp.,lupin / lupinus sp .
lupini bean/lupinus albus,lupini bean/lupinus albus,lupini bean / lupinus albus
mesquite/prosopis sp.,mesquite/prosopis sp.,mesquite / prosopis sp .
moth bean/vigna aconitifolia,moth bean/vigna aconitifolia,moth bean / vigna aconitifolia
mung bean/vigna radiata,mung bean/vigna radiata,mung bean / vigna radiata
pea/pisum sativum,pea/pisum sativum,pea / pisum sativum
pigeon pea/cajanus cajan,pigeon pea/cajanus cajan,pigeon pea / cajanus cajan
rice bean/vigna umbellata,rice bean/vigna umbellata,rice bean / vigna umbellata
runner bean/phaseolus coccineus,runner bean/phaseolus coccineus,runner bean / phaseolus coccineus
scimitar bean/canavalia gladiata,scimitar bean/canavalia gladiata,scimitar bean / canavalia gladiata
soybean/glycine max,soybean/glycine max,soybean / glycine max
tamarind/tamarindus indica,tamarind/tamarindus indica,tamarind / tamarindu indica
tepary bean/phaseolus acutifolius,tepary bean/phaseolus acutifolius,tepary bean / phaseolus acutifolius
urad/mungo bean/vigna mungo,urad/mungo bean/vigna mungo,urad / mungo bean / vigna mungo
velvet bean/mucuna pruriens,velvet bean/mucuna pruriens,velvet bean / mucuna prurien
vetch/vicia sp.,vetch/vicia sp.,vetch / vicia sp .
winged bean/psophocarpus tetragonolobus,winged bean/psophocarpus tetragonolobus,wing bean / psophocarpus tetragonolobus
yam bean/pachyrhizus erosus,yam bean/pachyrhizus erosus,yam bean / pachyrhizus erosus
kaffir lime/citrus hystix,kaffir lime/citrus hystix,kaffir lime / citrus hystix
key lime/citrus ã— aurantiifolia,key lime/citrus ã— aurantiifolia,key lime / citrus ã — aurantiifolia
persian lime/citrus ã— latifolia,persian lime/citrus ã— latifolia,persian lime / citrus ã — latifolia
winter melon/benincasa hispida,winter melon/benincasa hispida,winter melon / benincasa hispida
egusi/citrullus lanatus,egusi/citrullus lanatus,egusi / citrullus lanatus
watermelon/citrullus lanatu,watermelon/citrullus lanatu,watermelon / citrullus lanatu
horned melon/cucumis metuliferus,horned melon/cucumis metuliferus,horn melon / cucumis metuliferus
muskmelon/cucumis melo,muskmelon/cucumis melo,muskmelon / cucumis melo
adlay millet/job's tears/coix lacryma-jobi,adlay millet/job's tears/coix lacryma-jobi,adlay millet / job 's tear / coix lacryma - jobi
barnyard millet/japanese millet/echinochloa sp.,barnyard millet/japanese millet/echinochloa sp.,barnyard millet / japanese millet / echinochloa sp .
black fonio/digitaria iburua,black fonio/digitaria iburua,black fonio / digitaria iburua
browntop millet/urochloa ramosa,browntop millet/urochloa ramosa,browntop millet / urochloa ramosa
common millet/proso millet/panicum miliaceum,common millet/proso millet/panicum miliaceum,common millet / proso millet / panicum miliaceum
finger millet/ragi/eleusine coracana,finger millet/ragi/eleusine coracana,finger millet / ragi / eleusine coracana
foxtail millet/setaria italica,foxtail millet/setaria italica,foxtail millet / setaria italica
guinea millet/brachiaria deflexa,guinea millet/brachiaria deflexa,guinea millet / brachiaria deflexa
kodo millet/paspalum scrobiculatum,kodo millet/paspalum scrobiculatum,kodo millet / paspalum scrobiculatum
little millet/panicum sumatrense,little millet/panicum sumatrense,little millet / panicum sumatrense
pearl millet/sajjey/pennisetum glaucum,pearl millet/sajjey/pennisetum glaucum,pearl millet / sajjey / pennisetum glaucum
polish millet/digitaria sanguinalis,polish millet/digitaria sanguinalis,polish millet / digitaria sanguinalis
raishan/digitaria compacta,raishan/digitaria compacta,raishan / digitaria compacta
sorghum/great millet/sorghum bicolor,sorghum/great millet/sorghum bicolor,sorghum / great millet / sorghum bicolor
teff/eragrostis tef,teff/eragrostis tef,teff / eragrostis tef
white fonio/digitaria exilis,white fonio/digitaria exilis,white fonio / digitaria exilis
white mulberry/morus alba,white mulberry/morus alba,white mulberry / morus alba
chinese mulberry/morus australis,chinese mulberry/morus australis,chinese mulberry / morus australis
morus cathayana,morus cathayana,morus cathayana
morus indica,morus indica,morus indica
Morus indica,morus indica,Morus indica
morus insignis,morus insignis,morus insigni
morus japonica,morus japonica,morus japonica
morus liboensis,morus liboensis,morus liboensis
long mulberry/morus macroura,long mulberry/morus macroura,long mulberry / morus macroura
african mulberry/morus mesozygia,african mulberry/morus mesozygia,african mulberry / morus mesozygia
morus mongolica,morus mongolica,morus mongolica
texas mulberry/morus celtidifolia,texas mulberry/morus celtidifolia,texas mulberry / morus celtidifolia
black mulberry/morus nigra,black mulberry/morus nigra,black mulberry / morus nigra
morus notabilis,morus notabilis,morus notabilis
red mulberry/morus rubra,red mulberry/morus rubra,red mulberry / morus rubra
morus serrata,morus serrata,morus serrata
morus trilobata,morus trilobata,morus trilobata
morus wittiorum,morus wittiorum,morus wittiorum
black mustard/brassica nigra,black mustard/brassica nigra,black mustard / brassica nigra
mustard cabbage/brown indian mustard/brassica juncea,mustard cabbage/brown indian mustard/brassica juncea,mustard cabbage / brown indian mustard / brassica juncea
white mustard/yellow mustard/sinapis alba,white mustard/yellow mustard/sinapis alba,white mustard / yellow mustard / sinapis alba
date-plum/diospyros lotus,date-plum/diospyros lotus,date - plum / diospyros lotus
american persimmon/diospyros virginiana ,american persimmon/diospyros virginiana ,american persimmon / diospyro virginiana
asian persimmon/diospyros kaki,asian persimmon/diospyros kaki,asian persimmon / diospyro kaki
black sapote/diospyros nigra,black sapote/diospyros nigra,black sapote / diospyro nigra
mabolo/diospyros discolor,mabolo/diospyros discolor,mabolo / diospyro discolor
indian persimmon/diospyros peregrina,indian persimmon/diospyros peregrina,indian persimmon / diospyro peregrina
texas persimmon/diospyros texana,texas persimmon/diospyros texana,texas persimmon / diospyro texana
damson plum/prunus domestica subsp. insititia,damson plum/prunus domestica subsp. insititia,damson plum / prunus domestica subsp . insititia
gage/prunus domestica subsp. italica,gage/prunus domestica subsp. italica,gage / prunus domestica subsp . italica
