RefID,ReferenceTag,ReferenceYear,ReferenceName,DOI,ReferenceTitle,Comments,fname_x,fname_y,fname
46,Fuentes_2004_SSSoAJ,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",fuentes2004,fuentes2004,fuentes2004
47,Ghafoor_2013_JoH,2013,Ghafoor A. et al. 2013 Journal of Hydrology 492:190–199,10.1016/j.jhydrol.2013.03.046,Soil properties and susceptibility to preferential solute transport in tilled topsoil at the catchment scale,watershed scale (1300 ha),ghafoor2013,ghafoor2013,ghafoor2013
48,Ghiberto_2007_AaWM,2007,"Ghiberto et al., 2007. Agric. Water Management, 88: 192-200",10.1016/j.agwat.2006.10.013,Hydraulic conductivity of Molisolls irrigated with sodic-bicarbonated waters in Santa Fe (Argentine),K decreased by irrigation with water of high sodicity,ghiberto2007,ghiberto2007,ghiberto2007
49,Gomez_2001_SSSoAJ,2001,Gómez et al. 2001. Soil Sci Soc Am J. 65:291-299,10.2136/sssaj2001.652291x,Analysis of Infiltration and Runoff in an Olive Orchard under No-Till,olive orchard,10.2136@sssaj2001.652291x,10.2136@sssaj2001.652291x,10.2136@sssaj2001.652291x
50,Greenwood_1997_AJoEA,1997,Greenwood et al. 1997. Austral J Exper Agric. 37:413?419,10.1071/ea96131,Long-term stocking rate effects on soil physical properties,effects of sheep stocking density,greenwood1997,greenwood1997,greenwood1997
51,Greenwood_1998_SUaM,1998,"Greenwood et al. 1998. Soil Use & Management, 14, 19-24",10.1111/j.1475-2743.1998.tb00605.x,Changes to soil physical properties after grazing exclusion,effects of sheep stocking density,greenwood1998,greenwood1998,greenwood1998
144,hallam2020,2020,"Hallam, Jamal. 2020. “Effect of Earthworms on Soil Physico-Hydraulic and Chemical Properties, Herbage Production, and Wheat Growth on Arable Land Converted to Ley.” Science of the Total Environment, 14.",10.1016/j.scitotenv.2019.136491,"Effect of earthworms on soil physico-hydraulic and chemical properties, herbage production, and wheat growth on arable land converted to ley","lot's of data! impact of earthworms, frozen soil coumns",hallam2020,hallam2020,hallam2020
162,Hardie2012,2012,"Hardie, Doyle, Cotching, Mattern, Lisson. 2012. ""Influence of antecedent soil moisture on hydraulic conductivity in a series of texture-contrast soils"" 13.",10.1002/hyp.8325,Influence of antecedent soil moisture on hydraulic conductivity in a series of texture-contrast soils,,hardie2012,hardie2012,hardie2012
142,hardie2013,2013,"Hardie, Marcus, Brent Clothier, Sally Bound, Garth Oliver, and Dugald Close. 2014. “Does Biochar Influence Soil Physical Properties and Soil Water Availability?” Plant Soil, 15.",10.1007/s11104-013-1980-x,Does biochar influence soil physical properties and soil water availability?,biochar in apple orchard,hardie2013,hardie2013,hardie2013
53,Heddadj_1999_EJoSS,1999,Heddadj & Gascuel-Odoux. 1999. Eur J Soil Sci. 50:275-283,10.1046/j.1365-2389.1999.00232.x,Topographic and seasonal variations of unsaturated hydraulic conductivity as measured by tension disc infiltrometers at the field scale,effects of topographic postion (small) and temporal changes in tilled soil during growing season,heddadj1999,heddadj1999,heddadj1999
